TimeStamp_UTC; mm_ws_110m[m/s]; mm_ws_60m[m/s]; mm_wd_110m[deg]; 
2023.10.20_16:24:34:845; 8.782200; 7.830700; 230.949300; 
2023.10.20_16:24:34:945; 8.555300; 7.568200; 229.630800; 
2023.10.20_16:24:35:045; 8.467800; 7.549100; 226.202900; 
2023.10.20_16:24:35:145; 8.678300; 7.488900; 226.290800; 
2023.10.20_16:24:35:245; 8.670100; 7.699400; 226.290800; 
2023.10.20_16:24:35:345; 8.908000; 7.633800; 226.334700; 
2023.10.20_16:24:35:445; 9.036500; 7.721300; 228.422300; 
2023.10.20_16:24:35:545; 8.620900; 7.819800; 228.422300; 
2023.10.20_16:24:35:645; 8.932600; 7.724100; 228.444200; 
2023.10.20_16:24:35:745; 8.599000; 7.814300; 228.422300; 
2023.10.20_16:24:35:845; 8.640000; 7.781500; 227.345500; 
2023.10.20_16:24:35:945; 8.369300; 7.715800; 227.279600; 
2023.10.20_16:24:36:045; 8.754900; 7.543600; 227.257600; 
2023.10.20_16:24:36:145; 8.426800; 7.661200; 227.301600; 
2023.10.20_16:24:36:245; 8.667400; 7.833400; 228.422300; 
2023.10.20_16:24:36:345; 8.670100; 7.532700; 228.488200; 
2023.10.20_16:24:36:445; 8.519700; 7.666600; 228.466200; 
2023.10.20_16:24:36:545; 8.973600; 7.639300; 228.444200; 
2023.10.20_16:24:36:645; 8.615400; 7.543600; 229.784700; 
2023.10.20_16:24:36:745; 8.970900; 7.639300; 229.762700; 
2023.10.20_16:24:36:845; 8.511500; 7.767800; 229.806600; 
2023.10.20_16:24:36:945; 8.585400; 7.737700; 229.828600; 
2023.10.20_16:24:37:045; 8.448600; 7.601000; 229.828600; 
2023.10.20_16:24:37:145; 8.653700; 7.841600; 227.411500; 
2023.10.20_16:24:37:245; 8.476000; 7.800600; 227.521300; 
2023.10.20_16:24:37:345; 8.719300; 7.833400; 227.565300; 
2023.10.20_16:24:37:445; 8.596300; 7.910000; 227.565300; 
2023.10.20_16:24:37:545; 8.708400; 7.704900; 229.455000; 
2023.10.20_16:24:37:645; 8.648200; 7.450600; 229.564900; 
2023.10.20_16:24:37:745; 8.681100; 7.614700; 229.586900; 
2023.10.20_16:24:37:845; 8.495100; 7.888100; 229.564900; 
2023.10.20_16:24:37:945; 8.675600; 7.488900; 229.191400; 
2023.10.20_16:24:38:045; 8.560700; 7.696700; 229.147400; 
2023.10.20_16:24:38:145; 8.610000; 7.579100; 229.147400; 
2023.10.20_16:24:38:245; 8.536100; 7.510800; 229.147400; 
2023.10.20_16:24:38:345; 8.719300; 7.480700; 223.719800; 
2023.10.20_16:24:38:445; 8.418600; 7.685800; 224.093400; 
2023.10.20_16:24:38:545; 8.651000; 7.579100; 224.159300; 
2023.10.20_16:24:38:645; 8.456800; 7.376800; 224.247200; 
2023.10.20_16:24:38:745; 8.670100; 7.573700; 231.344800; 
2023.10.20_16:24:38:845; 8.626400; 7.546300; 230.707600; 
2023.10.20_16:24:38:945; 8.667400; 7.601000; 230.597700; 
2023.10.20_16:24:39:045; 8.795900; 7.972900; 230.531800; 
2023.10.20_16:24:39:145; 8.484200; 7.912700; 230.202200; 
2023.10.20_16:24:39:245; 8.708400; 7.663900; 228.971600; 
2023.10.20_16:24:39:345; 8.522500; 7.795100; 228.927700; 
2023.10.20_16:24:39:445; 8.563500; 7.828000; 228.905700; 
2023.10.20_16:24:39:545; 8.440400; 7.669400; 228.773800; 
2023.10.20_16:24:39:645; 8.563500; 8.090400; 226.928000; 
2023.10.20_16:24:39:745; 8.388500; 8.011200; 226.972000; 
2023.10.20_16:24:39:845; 8.552500; 8.172500; 227.015900; 
2023.10.20_16:24:39:945; 8.260000; 8.448600; 227.015900; 
2023.10.20_16:24:40:045; 8.361100; 8.514300; 226.049100; 
2023.10.20_16:24:40:145; 8.333800; 8.809600; 226.005100; 
2023.10.20_16:24:40:245; 8.497900; 8.648200; 225.983200; 
2023.10.20_16:24:40:345; 8.257200; 8.806800; 225.983200; 
2023.10.20_16:24:40:445; 8.265400; 8.823200; 226.862100; 
2023.10.20_16:24:40:545; 8.563500; 8.981800; 226.752200; 
2023.10.20_16:24:40:645; 8.421300; 8.869700; 226.752200; 
2023.10.20_16:24:40:745; 8.620900; 8.637300; 226.774200; 
2023.10.20_16:24:40:845; 8.672900; 8.372100; 225.543700; 
2023.10.20_16:24:40:945; 8.864300; 8.547100; 225.675500; 
2023.10.20_16:24:41:045; 8.776800; 8.454100; 225.675500; 
2023.10.20_16:24:41:145; 8.910700; 8.779500; 225.675500; 
2023.10.20_16:24:41:245; 8.798600; 8.834200; 225.170100; 
2023.10.20_16:24:41:345; 8.935300; 9.208800; 224.686700; 
2023.10.20_16:24:41:445; 8.752200; 9.255300; 224.642700; 
2023.10.20_16:24:41:545; 8.973600; 9.192400; 224.642700; 
2023.10.20_16:24:41:645; 8.828700; 9.392000; 224.379100; 
2023.10.20_16:24:41:745; 8.858800; 9.036500; 223.829700; 
2023.10.20_16:24:41:845; 8.960000; 9.320900; 223.829700; 
2023.10.20_16:24:41:945; 8.845100; 9.318200; 223.807700; 
2023.10.20_16:24:42:045; 8.776800; 9.613500; 223.829700; 
2023.10.20_16:24:42:145; 8.765800; 9.392000; 224.269200; 
2023.10.20_16:24:42:245; 8.659200; 9.036500; 224.269200; 
2023.10.20_16:24:42:345; 8.724800; 9.367400; 224.247200; 
2023.10.20_16:24:42:445; 8.782200; 9.110300; 224.269200; 
2023.10.20_16:24:42:545; 8.806800; 9.320900; 225.499700; 
2023.10.20_16:24:42:645; 8.623600; 9.285300; 225.367900; 
2023.10.20_16:24:42:745; 8.683800; 9.288100; 225.345900; 
2023.10.20_16:24:42:845; 8.700200; 9.181400; 225.345900; 
2023.10.20_16:24:42:945; 8.812300; 9.408400; 225.939200; 
2023.10.20_16:24:43:045; 8.962700; 9.331800; 225.961200; 
2023.10.20_16:24:43:145; 8.607200; 9.556000; 225.983200; 
2023.10.20_16:24:43:245; 8.891600; 9.345500; 225.983200; 
2023.10.20_16:24:43:345; 8.470500; 9.556000; 225.917200; 
2023.10.20_16:24:43:445; 8.741200; 9.504100; 225.565600; 
2023.10.20_16:24:43:545; 8.358400; 9.244300; 225.587600; 
2023.10.20_16:24:43:645; 8.530700; 9.252500; 225.565600; 
2023.10.20_16:24:43:745; 8.445900; 8.979100; 225.895300; 
2023.10.20_16:24:43:845; 8.497900; 9.195100; 228.026700; 
2023.10.20_16:24:43:945; 8.527900; 9.074800; 227.894900; 
2023.10.20_16:24:44:045; 8.560700; 9.227900; 227.894900; 
2023.10.20_16:24:44:145; 8.525200; 9.252500; 227.872900; 
2023.10.20_16:24:44:245; 8.385800; 9.107600; 230.729500; 
2023.10.20_16:24:44:345; 8.459600; 9.077500; 230.839400; 
2023.10.20_16:24:44:445; 8.243600; 8.757600; 230.861400; 
2023.10.20_16:24:44:545; 8.331100; 8.752200; 230.905300; 
2023.10.20_16:24:44:645; 8.161500; 8.506100; 231.191000; 
2023.10.20_16:24:44:745; 8.437700; 8.363900; 231.234900; 
2023.10.20_16:24:44:845; 8.219000; 8.003000; 231.234900; 
2023.10.20_16:24:44:945; 8.065800; 7.901800; 231.256900; 
2023.10.20_16:24:45:045; 8.260000; 7.879900; 239.233500; 
2023.10.20_16:24:45:145; 7.893600; 7.467000; 238.837900; 
2023.10.20_16:24:45:245; 8.087700; 7.642000; 238.706100; 
2023.10.20_16:24:45:345; 7.918200; 7.702200; 238.662200; 
2023.10.20_16:24:45:445; 8.063100; 7.472500; 236.596600; 
2023.10.20_16:24:45:545; 8.169700; 7.502600; 236.003300; 
2023.10.20_16:24:45:645; 8.164300; 7.475200; 235.937400; 
2023.10.20_16:24:45:745; 8.596300; 7.458800; 235.893400; 
2023.10.20_16:24:45:845; 8.478700; 7.428700; 235.827500; 
2023.10.20_16:24:45:945; 8.858800; 7.691200; 234.948500; 
2023.10.20_16:24:46:045; 8.785000; 7.778700; 234.948500; 
2023.10.20_16:24:46:145; 8.916200; 7.838900; 234.970500; 
2023.10.20_16:24:46:245; 9.066600; 7.904500; 234.970500; 
2023.10.20_16:24:46:345; 9.189600; 7.920900; 237.761200; 
2023.10.20_16:24:46:445; 8.957200; 7.910000; 237.959000; 
2023.10.20_16:24:46:545; 9.277100; 7.901800; 238.002900; 
2023.10.20_16:24:46:645; 9.337300; 7.937300; 238.046900; 
2023.10.20_16:24:46:745; 9.337300; 7.792400; 235.959400; 
2023.10.20_16:24:46:845; 9.474000; 7.926400; 235.805500; 
2023.10.20_16:24:46:945; 9.263500; 7.748700; 235.827500; 
2023.10.20_16:24:47:045; 9.599800; 7.814300; 235.827500; 
2023.10.20_16:24:47:145; 9.509600; 7.970100; 233.036800; 
2023.10.20_16:24:47:245; 9.208800; 7.869000; 233.322500; 
2023.10.20_16:24:47:345; 9.394700; 8.238100; 233.388400; 
2023.10.20_16:24:47:445; 9.159600; 8.128700; 233.388400; 
2023.10.20_16:24:47:545; 9.058400; 8.074000; 233.234600; 
2023.10.20_16:24:47:645; 8.940800; 8.440400; 233.256500; 
2023.10.20_16:24:47:745; 8.886100; 8.424000; 233.234600; 
2023.10.20_16:24:47:845; 8.910700; 8.426800; 233.278500; 
